crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
"Simple (Hands, Fists, Feet, etc.) ", 0 , 0 , 0 , 3 , 3 , 0
Larceny - Theft , 2 , 0 , 8 , 21 , 12 , 1
