crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
Unlawful Entry , 0 , 0 , 0 , 1 , 0 , 0
Larceny - Theft , 1 , 0 , 2 , 0 , 0 , 0
