crime,month_last_yr,month_this_yr,ytd_last,ytd_this_yr,cleared,juvie_cleared
"Simple (Hands, Fists, Feet, etc.) ", 1 , 0 , 3 , 1 , 0 , 0
Larceny - Theft , 3 , 0 , 9 , 1 , 0 , 0
